comparator_mode,system_id,seed,badness_target,mean_absolute_margin,mean_relative_margin,deployable,diagnostic
global_calibration_selected_baseline,two_tank,1,bad_rmse,-0.015555555555555553,-0.03333333333333333,True,False
global_calibration_selected_baseline,two_tank,1,bad_rmse_or_event,-0.015555555555555553,-0.03333333333333333,True,False
global_calibration_selected_baseline,two_tank,2,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,two_tank,2,bad_rmse,-0.008888888888888889,0.0,True,False
global_calibration_selected_baseline,two_tank,2,bad_rmse_or_event,-0.008888888888888889,0.0,True,False
global_calibration_selected_baseline,two_tank,3,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,two_tank,3,bad_rmse,0.014444444444444442,0.04027777777777777,True,False
global_calibration_selected_baseline,two_tank,3,bad_rmse_or_event,0.014444444444444442,0.04027777777777777,True,False
global_calibration_selected_baseline,two_tank,4,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,two_tank,4,bad_rmse,-0.04111111111111111,0.012222222222222223,True,False
global_calibration_selected_baseline,two_tank,4,bad_rmse_or_event,-0.04111111111111111,0.012222222222222223,True,False
global_calibration_selected_baseline,two_tank,5,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,two_tank,5,bad_rmse,-0.008888888888888889,0.0,True,False
global_calibration_selected_baseline,two_tank,5,bad_rmse_or_event,-0.008888888888888889,0.0,True,False
global_calibration_selected_baseline,two_tank,6,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,two_tank,6,bad_rmse,-0.002222222222222222,0.020833333333333332,True,False
global_calibration_selected_baseline,two_tank,6,bad_rmse_or_event,-0.002222222222222222,0.020833333333333332,True,False
global_calibration_selected_baseline,two_tank,7,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,two_tank,7,bad_rmse,0.0033333333333333327,0.12222222222222222,True,False
global_calibration_selected_baseline,two_tank,7,bad_rmse_or_event,0.0033333333333333327,0.12222222222222222,True,False
global_calibration_selected_baseline,two_tank,8,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,two_tank,8,bad_rmse,-0.02,0.03333333333333333,True,False
global_calibration_selected_baseline,two_tank,8,bad_rmse_or_event,-0.02,0.03333333333333333,True,False
global_calibration_selected_baseline,two_tank,9,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,two_tank,9,bad_rmse,-0.0033333333333333335,0.0125,True,False
global_calibration_selected_baseline,two_tank,9,bad_rmse_or_event,-0.0033333333333333335,0.0125,True,False
per_system_calibration_selected_baseline,cstr,0,bad_event,-0.03928571428571428,0.0,True,False
per_system_calibration_selected_baseline,cstr,0,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,0,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,1,bad_event,-0.05714285714285712,0.0,True,False
per_system_calibration_selected_baseline,cstr,1,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,1,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,2,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,2,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,2,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,3,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,3,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,3,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,4,bad_event,-0.01428571428571428,0.0,True,False
per_system_calibration_selected_baseline,cstr,4,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,4,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,5,bad_event,-0.1571428571428571,0.0,True,False
per_system_calibration_selected_baseline,cstr,5,bad_rmse,0.00238095238095238,0.03333333333333333,True,False
per_system_calibration_selected_baseline,cstr,5,bad_rmse_or_event,0.00238095238095238,0.03333333333333333,True,False
per_system_calibration_selected_baseline,cstr,6,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,6,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,6,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,7,bad_event,-0.05357142857142857,0.1,True,False
per_system_calibration_selected_baseline,cstr,7,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,7,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,8,bad_event,-0.03928571428571428,0.0,True,False
per_system_calibration_selected_baseline,cstr,8,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,8,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,9,bad_event,-0.07857142857142856,0.0,True,False
per_system_calibration_selected_baseline,cstr,9,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,cstr,9,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,0,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,0,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,0,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,1,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,1,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,1,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,2,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,2,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,2,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,3,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,3,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,3,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,4,bad_event,-0.09285714285714286,-0.01666666666666667,True,False
per_system_calibration_selected_baseline,heat_exchanger,4,bad_rmse,0.019047619047619042,0.09166666666666666,True,False
per_system_calibration_selected_baseline,heat_exchanger,4,bad_rmse_or_event,0.010119047619047616,0.075,True,False
per_system_calibration_selected_baseline,heat_exchanger,5,bad_event,1.1102230246251566e-17,0.01428571428571429,True,False
per_system_calibration_selected_baseline,heat_exchanger,5,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,5,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,6,bad_event,-0.07857142857142857,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,6,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,6,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,7,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,7,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,7,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,8,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,8,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,8,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,9,bad_event,0.05357142857142856,0.3,True,False
per_system_calibration_selected_baseline,heat_exchanger,9,bad_rmse,0.0,0.0,True,False
per_system_calibration_selected_baseline,heat_exchanger,9,bad_rmse_or_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,0,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,0,bad_rmse,0.004444444444444442,0.11666666666666667,True,False
per_system_calibration_selected_baseline,two_tank,0,bad_rmse_or_event,0.004444444444444442,0.11666666666666667,True,False
per_system_calibration_selected_baseline,two_tank,1,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,1,bad_rmse,-0.03222222222222222,-0.06666666666666667,True,False
per_system_calibration_selected_baseline,two_tank,1,bad_rmse_or_event,-0.03222222222222222,-0.06666666666666667,True,False
per_system_calibration_selected_baseline,two_tank,2,bad_event,0.0,0.0,True,False
per_system_calibration_selected_baseline,two_tank,2,bad_rmse,0.007777777777777777,0.016666666666666666,True,False
