system_id,seed,badness_target,coverage,mean_absolute_margin,mean_relative_margin,seed_win,false_accept_rate,baseline_far
two_tank,5,bad_rmse,0.1,-0.05333333333333334,0.0,0.0,0.09333333333333334,0.04000000000000001
two_tank,5,bad_rmse_or_event,0.05,-0.03333333333333333,-0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333
two_tank,5,bad_rmse_or_event,0.1,-0.05333333333333334,0.0,0.0,0.09333333333333334,0.04000000000000001
two_tank,6,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,6,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,6,bad_rmse,0.05,-0.03333333333333333,-0.05,0.0,0.1,0.06666666666666667
two_tank,6,bad_rmse,0.1,-0.02666666666666666,-0.02499999999999999,0.0,0.1,0.07333333333333333
two_tank,6,bad_rmse_or_event,0.05,-0.03333333333333333,-0.05,0.0,0.1,0.06666666666666667
two_tank,6,bad_rmse_or_event,0.1,-0.02666666666666666,-0.02499999999999999,0.0,0.1,0.07333333333333333
two_tank,7,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,7,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,7,bad_rmse,0.05,-0.06666666666666667,0.0,0.0,0.1,0.03333333333333333
two_tank,7,bad_rmse,0.1,-0.04666666666666666,0.0,0.0,0.09333333333333334,0.04666666666666667
two_tank,7,bad_rmse_or_event,0.05,-0.06666666666666667,0.0,0.0,0.1,0.03333333333333333
two_tank,7,bad_rmse_or_event,0.1,-0.04666666666666666,0.0,0.0,0.09333333333333334,0.04666666666666667
two_tank,8,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,8,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,8,bad_rmse,0.05,-0.04444444444444444,0.0,0.0,0.1,0.05555555555555555
two_tank,8,bad_rmse,0.1,-0.05333333333333333,-0.07777777777777778,0.0,0.10666666666666667,0.05333333333333334
two_tank,8,bad_rmse_or_event,0.05,-0.04444444444444444,0.0,0.0,0.1,0.05555555555555555
two_tank,8,bad_rmse_or_event,0.1,-0.05333333333333333,-0.07777777777777778,0.0,0.10666666666666667,0.05333333333333334
two_tank,9,bad_event,0.05,0.0,0.0,0.0,0.0,0.0
two_tank,9,bad_event,0.1,0.0,0.0,0.0,0.0,0.0
two_tank,9,bad_rmse,0.05,-0.01111111111111111,0.0,0.0,0.07777777777777777,0.06666666666666667
two_tank,9,bad_rmse,0.1,-0.020000000000000004,-0.011111111111111117,0.0,0.09333333333333332,0.07333333333333333
two_tank,9,bad_rmse_or_event,0.05,-0.01111111111111111,0.0,0.0,0.07777777777777777,0.06666666666666667
two_tank,9,bad_rmse_or_event,0.1,-0.020000000000000004,-0.011111111111111117,0.0,0.09333333333333332,0.07333333333333333
